epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.04497,1.34721,3.66267,1.20084,0.01094,0.57143,0.09391,0.05675,0.83969,3.04066,0.97898,4e-05,4e-05,4e-05
2,3.79367,1.77187,3.34937,1.41996,0.01309,0.67857,0.09927,0.05785,0.84346,3.0515,0.98199,5.05e-05,5.05e-05,5.05e-05
